model,unique_id,cutoff,n,scale,mae,wape,mase,pinball,coverage,mean_actual
AutoARIMA,FOODS_1_082_TX_3,2016-04-24,28,2.815147625160462,1.5996428423511797,0.5669620200738358,0.5682269832154897,0.49001260888773696,0.9285714285714286,2.8214285714285716
AutoARIMA,FOODS_1_082_TX_3,2016-05-22,28,2.8004956629491944,2.0863649682385996,0.6872731660080093,0.7449984643223673,0.652396204952336,0.8928571428571429,3.0357142857142856
AutoARIMA,FOODS_1_105_CA_2,2016-02-28,28,0.5933609958506224,0.7500000184292791,1.0000000245723721,1.2639860450451488,0.30141616660181936,0.8214285714285714,0.75
AutoARIMA,FOODS_1_105_CA_2,2016-03-27,28,0.6085219707057257,0.9124813910261029,0.9462769981011439,1.4995044303295477,0.2893405415702894,0.8928571428571429,0.9642857142857143
AutoARIMA,FOODS_1_105_CA_2,2016-04-24,28,0.6290115532734275,1.0372397351394766,0.8800821995122833,1.6489994972931679,0.31028078106430307,0.8928571428571429,1.1785714285714286
AutoARIMA,FOODS_1_105_CA_2,2016-05-22,28,0.6431226765799256,0.828030149675888,0.6266174105655369,1.2875150882243576,0.23877601624939446,0.8928571428571429,1.3214285714285714
AutoARIMA,FOODS_1_112_CA_1,2016-02-28,28,1.9820193637621024,1.6201759282604296,0.6574626955259714,0.8174369826463995,0.5676899861647469,0.8928571428571429,2.4642857142857144
AutoARIMA,FOODS_1_112_CA_1,2016-03-27,28,1.996005326231691,1.5129376132484347,0.7431974240518627,0.7579827535354066,0.4342790068894315,0.9642857142857143,2.0357142857142856
AutoARIMA,FOODS_1_112_CA_1,2016-04-24,28,1.9961489088575097,1.1534620274233962,0.7510915527408162,0.5778436780468332,0.41744941127395757,0.9642857142857143,1.5357142857142858
AutoARIMA,FOODS_1_112_CA_1,2016-05-22,28,1.980173482032218,1.6581040882741593,0.8290520441370797,0.837352940699153,0.4687959965581636,0.8928571428571429,2.0
AutoARIMA,FOODS_1_130_WI_2,2016-02-28,28,1.1742738589211619,1.2913342179812928,0.6822143038391736,1.0996874435812423,0.4317412214156845,0.75,1.8928571428571428
AutoARIMA,FOODS_1_130_WI_2,2016-03-27,28,1.2077230359520639,1.2672271674728084,0.6013959438854005,1.0492696833209252,0.43130751525953837,0.7857142857142857,2.107142857142857
AutoARIMA,FOODS_1_130_WI_2,2016-04-24,28,1.227214377406932,1.3963113461132173,0.592374510472274,1.1377892663412095,0.4607173811313775,0.6785714285714286,2.357142857142857
AutoARIMA,FOODS_1_130_WI_2,2016-05-22,28,1.2701363073110286,1.252043209633309,0.5232419383542187,0.9857549952917857,0.38004964854292306,0.5714285714285714,2.392857142857143
AutoARIMA,FOODS_1_133_WI_3,2016-02-28,28,0.5159059474412172,0.7031235883627325,0.8203108530898545,1.3628910305261541,0.22018746336121806,0.8571428571428571,0.8571428571428571
AutoARIMA,FOODS_1_133_WI_3,2016-03-27,28,0.525965379494008,0.8163726756136326,1.2699130509545395,1.55214146679959,0.2509380566801071,0.8928571428571429,0.6428571428571429
AutoARIMA,FOODS_1_133_WI_3,2016-04-24,28,0.5455712451861361,0.9061775666481526,1.1031726898325336,1.6609701751033197,0.26666182468818045,0.7142857142857143,0.8214285714285714
AutoARIMA,FOODS_1_133_WI_3,2016-05-22,28,0.5526641883519207,0.7823022667648631,1.3690289668385105,1.4155110521956156,0.2070422294468046,0.9285714285714286,0.5714285714285714
AutoARIMA,FOODS_1_180_TX_2,2016-02-28,28,1.4633471645919778,1.0630204354791002,0.8504163483832802,0.7264307890844891,0.33432948274913976,0.8928571428571429,1.25
AutoARIMA,FOODS_1_180_TX_2,2016-03-27,28,1.4660452729693743,0.7897351598797858,0.6910182648948126,0.5386840191368929,0.2503652628773181,0.9642857142857143,1.1428571428571428
AutoARIMA,FOODS_1_180_TX_2,2016-04-24,28,1.4569961489088574,1.5283045034309946,0.9725574112742692,1.0489420336323743,0.5441228246246712,0.8928571428571429,1.5714285714285714
AutoARIMA,FOODS_1_180_TX_2,2016-05-22,28,1.4845105328376704,0.8920771033005767,0.6750853754707067,0.600923390954562,0.2579361421946541,1.0,1.3214285714285714
AutoARIMA,FOODS_1_193_CA_2,2016-02-28,28,1.4038727524204702,1.7093228369844675,1.3294733176545859,1.2175767597436158,0.5155197503643878,0.9285714285714286,1.2857142857142858
AutoARIMA,FOODS_1_193_CA_2,2016-03-27,28,1.422103861517976,1.9708567583739733,1.6722420980142805,1.3858739939502378,0.6281104486896179,0.8928571428571429,1.1785714285714286
AutoARIMA,FOODS_1_193_CA_2,2016-04-24,28,1.4492939666238767,1.3841782572806598,2.583799413590565,0.955070737308799,0.39783679792699933,0.9642857142857143,0.5357142857142857
AutoARIMA,FOODS_1_193_CA_2,2016-05-22,28,1.4485749690210656,1.8512527771644864,1.364080993700148,1.2779820283761683,0.6649255636050031,0.8571428571428571,1.3571428571428572
AutoARIMA,FOODS_1_199_CA_1,2016-02-28,28,0.7952973720608575,0.8128831229113657,1.6257662458227313,1.0221121701998563,0.23874976033941073,0.9285714285714286,0.5
AutoARIMA,FOODS_1_199_CA_1,2016-03-27,28,0.8055925432756325,0.6774653056750467,1.5807523799084422,0.8409528009288597,0.21456432055468064,0.8928571428571429,0.42857142857142855
AutoARIMA,FOODS_1_199_CA_1,2016-04-24,28,0.7984595635430038,1.0793264844396677,1.1623515986273345,1.3517609829236352,0.3870970009221127,0.75,0.9285714285714286
AutoARIMA,FOODS_1_199_CA_1,2016-05-22,28,0.8339529120198265,0.8794693715754243,2.238649309464716,1.0545791721565638,0.2529136250498153,0.9642857142857143,0.39285714285714285
AutoARIMA,FOODS_1_209_TX_1,2016-02-28,28,0.7939142461964038,0.38469973579605765,,0.48456081703928516,0.12903519190762783,1.0,0.0
AutoARIMA,FOODS_1_209_TX_1,2016-03-27,28,0.7643142476697736,0.24384469746009682,,0.31903722611939495,0.10000844789792433,1.0,0.0
AutoARIMA,FOODS_1_209_TX_1,2016-04-24,28,0.7368421052631579,1.0815906109378575,0.976920551814839,1.4678729719870924,0.3485334572445475,0.6785714285714286,1.1071428571428572
AutoARIMA,FOODS_1_209_TX_1,2016-05-22,28,0.7558859975216853,1.0809210028763374,0.7566447020134361,1.4300053267560726,0.3501917182934636,0.8571428571428571,1.4285714285714286
